GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,#,#,#,"-3.235316482332909,40.1",#,#,#,#,#,#,#,#,"0.2839999999999998,8.716000000000001","-3.9749999999999996,4.432","-0.2125,1.1",#,"0.16449999999999998,1.4355000000000002",0.0,0.09868284190885303,0.629286376274328,1,87.34261404879175,49989,44555,0.2631578947368421,0.0009738423861633426,679,1079
"31.67329548728018,108.49748139154144",#,#,"4.912298266506403,7.88",#,#,"1.179,2.4210000000000003","-0.8080374344849814,4.455","-35.5,51.0",#,"-0.5660000000000003,6.166","71.9,84.6",#,"-0.38500000000000023,4.785",#,#,#,"-1.1065,1.5065",#,1.0,1.0,1.0,1,61.54338617693277,49367,44609,0.47368421052631576,0.0006861891952722632,30,30
"54.35,107.27",#,#,#,#,#,#,"-0.7125,0.9125","-35.5,51.0","0.8984999999999999,4.593999999999999","-0.7739999999999996,6.773999999999999",#,"0.575,4.2625",#,#,"-2.15,11.231791515384753",#,#,#,1.0,0.42514626711594566,0.8427672955974843,1,82.93746857518019,49990,44619,0.3684210526315789,0.0009440640566509133,1206,1431
#,#,#,#,"11.055,20.745","25.924,67.132","-0.6475,0.8995884681711678",#,#,"5.4595,9.5405",#,#,"1.845,6.014497231834932","5.9030000000000005,10.697000000000001",#,#,"1.225,2.975","3.276,4.524",#,1.0,1.0,1.0,1,22.0,49662,44637,0.42105263157894735,0.0002452930076448738,5,5
"19.44,70.56","23.799,55.670515429520755",#,#,"9.776817238260561,13.015",#,"0.6639999999999999,2.136","-0.7399999999999998,3.9675000000000002","11.8,51.003865166018024",#,"-2.074,5.473999999999999","61.0,93.0",#,"-0.03300000000000014,3.633",#,"1.6680000000000001,6.332","0.75,1.65","-0.34349999999999997,0.9435",#,0.0,0.4838840102534098,0.8648648648648649,2,77.62529528558494,49855,44649,0.631578947368421,0.0017309947409020522,32,37
"19.44,80.01668425436856","23.799,55.670515429520755",#,#,"9.776817238260561,13.015",#,"0.6639999999999999,2.136","-0.7399999999999998,3.9675000000000002","11.8,51.003865166018024",#,"-2.074,5.473999999999999","61.0,93.0",#,"-0.03300000000000014,3.633",#,"1.6680000000000001,6.332",#,#,#,0.0,0.06092699470458736,0.5714285714285714,1,72.6777606885856,49855,44649,0.5263157894736842,0.000810333932190797,48,84
#,#,#,#,"-2.395,9.195","-3.235316482332909,42.855999999999995","-0.45999999999999996,0.45999999999999996","-2.1399999999999997,2.54","-42.506992129706255,22.5",#,#,#,#,"0.6549999999999996,4.090000000000001",#,"-0.27300000000000013,4.073",#,"-0.8869999999999999,1.6869999999999998","0.8005,1.6790000000000003",0.0,0.07379350066184998,0.59375,1,80.99076094441594,49940,44693,0.47368421052631576,0.0009030212428864893,95,160
"17.25,52.75",#,"7.249999999999999,14.95",#,#,#,"-0.529,0.529",#,"-48.55510921726247,51.0",#,"1.8042635769676596,5.866",#,"1.3750000000000002,4.2625",#,#,#,"0.125,1.675",#,"1.3364999999999996,3.2635",1.0,1.0,1.0,1,74.34640681579485,49653,44724,0.42105263157894735,0.0008289388061561665,30,30
"-5.487614822941606,26.975",#,#,"-1.5769999999999997,3.0324999999999998","-1.1317431635783652,6.775",#,"-0.5555,0.7555","-1.6875,2.2425","-25.0,25.0","0.6755,4.081268342283962","-2.1229999999999998,5.323",#,#,"-1.208,5.697","1.0879999999999996,6.8","-3.9749999999999996,3.9799999999999995",#,"-0.26049999999999995,0.8775","-0.8170000000000002,2.217",0.0,1.0,1.0,1,85.02414125056,49762,44737,0.6842105263157895,0.000947992151353293,15,15
#,"7.609999999999999,19.79322071098244",#,#,#,"42.296,55.932","0.5630000000000001,1.4369999999999998","-0.047499999999999876,4.047499999999999","10.600000000000001,56.6","-1.9334999999999998,3.5335",#,"42.7,107.7","-0.784,2.3880178061074897","0.21928857756479347,4.296",#,#,#,"-0.9869999999999999,1.587",#,1.0,0.16986944825402764,0.7014925373134329,1,70.46485746278829,49886,44761,0.5263157894736842,0.0007856607645597577,47,67
#,#,#,#,#,#,#,#,#,#,#,#,"1.6655000000000002,5.5344999999999995",#,"7.444,16.556","0.9570000000000001,7.463257899078277",#,#,#,1.0,0.6456890288328394,0.9162303664921466,1,72.83194863919964,49990,44815,0.15789473684210525,0.0008120530788339206,175,191
"51.86,107.27",#,"6.874999999999999,19.525",#,#,"34.296,55.388000000000005","-0.713,0.713",#,#,"-1.0104999999999997,4.593999999999999",#,#,#,#,"7.064,16.971401515919712",#,"0.125,1.675",#,#,1.0,0.8510330529011969,0.9682539682539683,1,86.00768389113901,49990,44816,0.3684210526315789,0.0009589583391921387,183,189
#,"-1.9800000000000004,19.98","-5.337500000000001,11.774999999999999","1.3920717040045396,3.8749999999999996","3.185,13.615","18.9,40.1",#,"0.9429993366846046,2.418647478322782","-31.5,31.5",#,#,"61.2,108.2",#,"-4.010134602918885,3.074",#,"0.7029999999999998,5.897",#,#,#,0.0,0.6977687756168012,0.9305555555555556,1,105.70859373738361,49989,44826,0.5263157894736842,0.0011786172223524044,67,72
