GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,#,#,#,#,#,"-1.105,1.0075",#,#,"0.2320000000000002,7.168",#,#,"5.625,7.975",#,#,"-0.11250000000000004,1.125","0.11750000000000005,1.6284999999999998",#,1.0,1.0,1.0,3,73.0775562024852,49791,44573,0.2631578947368421,0.002226008406259717,59,59
"59.28,115.44387410932532",#,"1.9749999999999996,8.162546105054815",#,"1.995,9.405000000000001",#,"0.7707610393777689,1.536",#,"10.500000000000004,71.9",#,#,#,#,#,"-0.09600000000000009,2.768","-2.057,5.257","0.13749999999999996,1.35","-0.3825,0.9824999999999999",#,1,1.0,1.0,1,76.80472569326133,49993,44599,0.47368421052631576,0.0007798471191344025,67,67
"59.28,115.44387410932532",#,"1.9749999999999996,8.162546105054815",#,"1.995,9.405000000000001","35.616,49.184","0.7707610393777689,1.536",#,#,#,#,"66.2,92.2",#,"0.2370000000000001,3.2510000000000003",#,"-4.764876662894079,5.257",#,"-0.3825,0.9824999999999999","-0.3430000000000002,2.5020000000000002",1,0.6744185348093986,0.9242424242424242,1,81.65616620248363,49993,44599,0.5263157894736842,0.0008291068732786829,61,66
"-12.14,48.975",#,#,#,#,#,#,#,#,#,#,"28.1,79.1",#,"-1.0450000000000004,2.245","-0.936,2.736","-0.6079999999999999,3.208",#,"-0.124,1.124",#,0.0,0.1289729346644482,0.663895486935867,1,80.82592631074249,49989,44669,0.3157894736842105,0.0008206769207995792,559,842
#,#,"-2.1875000000000004,13.675",#,#,#,#,#,"-34.0,71.5","-0.6180000000000003,4.618","-2.2190000000000003,4.962",#,#,#,#,"-5.844206302539304,4.08","1.2375,3.8370566715090533",#,#,1.0,0.3245170893266761,0.7984496124031008,1,83.51523909252549,49936,44716,0.3157894736842105,0.0008479832200721096,103,129
#,"12.241000000000001,38.959","0.7375000000000007,29.639210692902996",#,#,"46.25779693691871,52.448","-0.1864999999999999,0.9864999999999999",#,"0.3999999999999986,59.7","-0.5715000000000001,3.9715","0.9770000000000003,8.423",#,"1.2220000000000002,3.9779999999999998",#,#,"-1.991,3.008","0.08749999999999991,1.3125",#,"0.9414999999999999,3.2995",1.0,0.7343716558895946,0.9401197604790419,1,76.76334915905974,49992,44833,0.5789473684210527,0.0007432885593353844,157,167
"52.125,63.010000000000005","15.460999999999999,43.21",#,#,"-0.8099999999999996,10.21",#,"-0.5225715434247297,0.69",#,#,#,#,#,#,"0.44499999999999984,5.6979999999999995","5.164,8.836",#,#,#,#,0.0,0.5625098415746331,0.8913043478260869,1,67.9984320913927,49968,44904,0.3157894736842105,0.0006904312318477754,41,46
"-12.14,48.975","19.641841894758468,33.544000000000004","1.2750000000000004,7.380310272144927","0.7704999999999997,4.8294999999999995",#,"29.828,53.572",#,#,"-28.999999999999996,31.83087083200925","0.1755,3.0245","-0.28300000000000014,3.083",#,"-3.0153994249998757,2.8717598205059423",#,#,#,#,#,"1.0289999999999997,3.5709999999999997",0.0,1.0,1.0,1,85.6403790153646,49961,44936,0.5263157894736842,0.0008695611142918268,20,20
#,#,#,"-1.0789999999999997,3.0789999999999997",#,#,"-0.21399999999999997,0.614","-1.7525000000000002,4.09","-34.19671495435826,31.83087083200925",#,#,#,"-0.589,0.7889999999999999",#,#,"-3.8749999999999996,3.2249999999999996",#,"-1.4235,0.18423236598918202",#,0.0,0.065849979700709,0.5803782505910166,1,77.12283606710938,49989,44962,0.3684210526315789,0.000783077095628335,491,846
"59.28,115.44387410932532",#,#,#,"1.995,9.405000000000001",#,"0.7707610393777689,2.444",#,#,#,#,#,#,"-0.16100000000000048,5.761",#,"-4.764876662894079,5.257",#,#,#,1,0.45104022774940694,0.8527918781725888,1,73.45097457974673,49993,45024,0.2631578947368421,0.0007748616087196761,168,197
